001: 第四章：神经网络基础（一） | text_len=48 images=1 diagrams=0 tables=0
002: 课程思路 | text_len=6 images=0 diagrams=1 tables=0
003: 课程思路 | text_len=6 images=0 diagrams=1 tables=0
004: 回望神经元 | text_len=116 images=3 diagrams=0 tables=0
005: 回望感知机 | text_len=86 images=6 diagrams=0 tables=0
006: 回望感知机 | text_len=62 images=4 diagrams=0 tables=0
007: 回望感知机 | text_len=62 images=1 diagrams=0 tables=0
008: 回望感知机 | text_len=75 images=1 diagrams=0 tables=0
009: 回望感知机 | text_len=48 images=1 diagrams=0 tables=0
010: 回望感知机 | text_len=94 images=1 diagrams=0 tables=0
011: 回望感知机 | text_len=80 images=1 diagrams=0 tables=0
012: 回望感知机 | text_len=187 images=2 diagrams=0 tables=0
013: 多层感知机 | text_len=90 images=1 diagrams=0 tables=0
014: 多层感知机 | text_len=101 images=2 diagrams=0 tables=0
015: 多层感知机 | text_len=77 images=2 diagrams=0 tables=0
016: 多层感知机 | text_len=77 images=2 diagrams=0 tables=0
017: 多层感知机 | text_len=72 images=2 diagrams=0 tables=0
018: 多层感知机 | text_len=96 images=2 diagrams=0 tables=0
019: 多层感知机 | text_len=89 images=1 diagrams=0 tables=0
020: 多层感知机 | text_len=85 images=1 diagrams=0 tables=0
021: 多层感知机 | text_len=72 images=0 diagrams=0 tables=0
022: 多层感知机 | text_len=72 images=0 diagrams=0 tables=0
023: 多层感知机 | text_len=96 images=8 diagrams=0 tables=0
024: 多层感知机 | text_len=105 images=0 diagrams=0 tables=0
025: 多层感知机 | text_len=133 images=0 diagrams=0 tables=0
026: 多层感知机 | text_len=260 images=2 diagrams=0 tables=0
027: 多层感知机 | text_len=30 images=1 diagrams=0 tables=0
028: 多层感知机 | text_len=246 images=1 diagrams=0 tables=0
029: 多层感知机 | text_len=348 images=0 diagrams=0 tables=0
030: 多层感知机 | text_len=96 images=0 diagrams=0 tables=0
031: 多层感知机：深度 vs. 宽度 | text_len=129 images=1 diagrams=0 tables=0
032: 多层感知机：深度 vs. 宽度 | text_len=67 images=0 diagrams=0 tables=0
033: 多层感知机：深度 vs. 宽度 | text_len=342 images=0 diagrams=0 tables=0
034: 多层感知机：深度 vs. 宽度 | text_len=162 images=4 diagrams=0 tables=0
035: 课程思路 | text_len=7 images=0 diagrams=1 tables=0
036: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=88 images=2 diagrams=0 tables=0
037: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=342 images=1 diagrams=0 tables=0
038: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=88 images=2 diagrams=0 tables=0
039: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=88 images=2 diagrams=0 tables=0
040: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=94 images=1 diagrams=0 tables=0
041: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=98 images=0 diagrams=0 tables=0
042: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=88 images=0 diagrams=0 tables=0
043: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=88 images=0 diagrams=0 tables=0
044: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=172 images=2 diagrams=0 tables=0
045: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=109 images=3 diagrams=0 tables=0
046: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=167 images=1 diagrams=0 tables=0
047: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=182 images=1 diagrams=0 tables=0
048: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=94 images=1 diagrams=0 tables=0
049: 尽管多层感知机具有强大的函数逼近能力，但要从“能够表示”走向“学到目标映射”，仍需要通过损失函数来度量预测输出与真实目标之间的差异，并据此优化参数。 | text_len=522 images=0 diagrams=0 tables=0
050: 课程思路 | text_len=7 images=0 diagrams=1 tables=0
051: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=87 images=1 diagrams=0 tables=0
052: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=303 images=2 diagrams=0 tables=0
053: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=254 images=3 diagrams=0 tables=0
054: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=212 images=4 diagrams=0 tables=0
055: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=207 images=4 diagrams=0 tables=0
056: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=203 images=4 diagrams=0 tables=0
057: 多层感知机：梯度计算 | text_len=79 images=4 diagrams=0 tables=0
058: 多层感知机：梯度计算 | text_len=13 images=1 diagrams=0 tables=0
059: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=331 images=3 diagrams=0 tables=0
060: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=74 images=0 diagrams=0 tables=0
061: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=74 images=0 diagrams=0 tables=0
062: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=74 images=0 diagrams=0 tables=0
063: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=74 images=0 diagrams=0 tables=0
064: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=457 images=1 diagrams=0 tables=0
065: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=457 images=1 diagrams=0 tables=0
066: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=185 images=0 diagrams=0 tables=0
067: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=143 images=3 diagrams=0 tables=0
068: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=230 images=1 diagrams=0 tables=0
069: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=95 images=2 diagrams=0 tables=0
070: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=83 images=0 diagrams=0 tables=0
071: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=83 images=0 diagrams=0 tables=0
072: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=83 images=0 diagrams=0 tables=0
073: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=89 images=0 diagrams=0 tables=0
074: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=89 images=0 diagrams=0 tables=0
075: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=83 images=1 diagrams=0 tables=0
076: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=113 images=1 diagrams=0 tables=0
077: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=74 images=1 diagrams=0 tables=0
078: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=84 images=0 diagrams=0 tables=0
079: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=86 images=1 diagrams=0 tables=0
080: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=74 images=0 diagrams=0 tables=0
081: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=74 images=0 diagrams=0 tables=0
082: 确定损失函数后，多层感知机的参数优化同样遵循经验风险最小化原则。因此一般会被转化为优化问题，再利用梯度信息进行迭代求解。 | text_len=97 images=0 diagrams=0 tables=0
